word_a,word_b,reason
import,importance,Modern meanings are not transparent members of the same study family
import,important,Modern meanings are not transparent members of the same study family
initial,initiative,Modern meanings are not transparent members of the same study family
initially,initiative,Modern meanings are not transparent members of the same study family
organic,organization,Snowball stem collision; different modern lexical families
organic,organize,Snowball stem collision; different modern lexical families
universe,university,University is not a useful modern derivative of universe
universal,university,University is not a useful modern derivative of universal
apart,apartment,Snowball stem collision; unrelated modern meanings
business,busy,Historical relation but not a transparent modern study family
emerge,emergency,Historical relation but not a transparent modern study family
even,evening,Snowball stem collision; unrelated modern meanings
experience,experiment,Shared history but distinct modern lexical families
hard,hardly,Strong semantic shift; hardly means almost not
internal,international,Snowball stem collision; different derivational bases
like,likely,Strong semantic shift in modern usage
object,objective,Shared historical root but distinct modern study families
position,positive,Snowball stem collision; distinct modern meanings
respect,respectively,Respectively belongs with respective not the common meaning of respect
several,severe,Snowball stem collision; unrelated words
unlike,unlikely,Different prefixes and different modern meanings
