NAWL_word,NGSL_candidate,score,signals
antibody,body,6,strip-prefix:anti
articulate,article,5,lancaster:artic; similarity:0.82
breakdown,break,4,ngsl-is-prefix
campus,camp,9,lancaster:camp; ngsl-is-prefix; similarity:0.80
classroom,class,4,ngsl-is-prefix
communist,community,5,lancaster:commun; similarity:0.89
communist,communicate,5,lancaster:commun; similarity:0.80
deadline,dead,4,ngsl-is-prefix
discourse,course,6,strip-prefix:dis
dissection,section,6,strip-prefix:dis
dissolve,solve,6,strip-prefix:dis
facet,face,6,ngsl-is-prefix; similarity:0.89
feedback,feed,4,ngsl-is-prefix
footnote,foot,4,ngsl-is-prefix
habitat,habit,9,lancaster:habit; ngsl-is-prefix; similarity:0.83
halfway,half,4,ngsl-is-prefix
handout,hand,4,ngsl-is-prefix
headquarter,head,4,ngsl-is-prefix
homework,home,4,ngsl-is-prefix
indifference,difference,6,strip-prefix:in
interface,face,6,strip-prefix:inter
inversion,version,6,strip-prefix:in
lateral,late,4,ngsl-is-prefix
lifestyle,life,4,ngsl-is-prefix
lifetime,life,4,ngsl-is-prefix
likewise,like,4,ngsl-is-prefix
liver,live,12,ngsl-is-prefix; similarity:0.89; suffix:er->e
longitudinal,long,4,ngsl-is-prefix
maternal,mate,4,ngsl-is-prefix
mentor,mention,5,lancaster:ment; similarity:0.77
mineral,mine,4,ngsl-is-prefix
missile,miss,4,ngsl-is-prefix
momentum,moment,6,ngsl-is-prefix; similarity:0.86
nonetheless,none,4,ngsl-is-prefix
overhead,head,6,strip-prefix:over
overhead,over,4,ngsl-is-prefix
overlap,over,4,ngsl-is-prefix
overview,view,6,strip-prefix:over
overview,over,4,ngsl-is-prefix
parenthesis,parent,4,ngsl-is-prefix
particle,part,4,ngsl-is-prefix
pathway,path,4,ngsl-is-prefix
physician,physical,5,lancaster:phys; similarity:0.82
portfolio,port,4,ngsl-is-prefix
portray,port,4,ngsl-is-prefix
portrayal,port,4,ngsl-is-prefix
primer,prime,15,lancaster:prim; ngsl-is-prefix; similarity:0.91; suffix:er->e
primer,primary,5,lancaster:prim; similarity:0.77
rainfall,rain,4,ngsl-is-prefix
rational,ratio,6,ngsl-is-prefix; similarity:0.77
rationality,ratio,4,ngsl-is-prefix
realm,real,6,ngsl-is-prefix; similarity:0.89
republic,public,6,strip-prefix:re
shallow,shall,6,ngsl-is-prefix; similarity:0.83
shuttle,shut,4,ngsl-is-prefix
static,statistic,5,lancaster:stat; similarity:0.80
static,station,5,lancaster:stat; similarity:0.77
straightforward,straight,4,ngsl-is-prefix
stripe,strip,6,ngsl-is-prefix; similarity:0.91
substrate,substance,5,lancaster:subst; similarity:0.78
textbook,text,4,ngsl-is-prefix
thereby,there,6,ngsl-is-prefix; similarity:0.83
transaction,action,6,strip-prefix:trans
transmission,mission,6,strip-prefix:trans
treaty,treat,6,ngsl-is-prefix; similarity:0.91
undermine,mine,6,strip-prefix:under
undermine,under,4,ngsl-is-prefix
underneath,under,4,ngsl-is-prefix
watershed,water,4,ngsl-is-prefix
wavelength,wave,4,ngsl-is-prefix
whereby,where,6,ngsl-is-prefix; similarity:0.83
whichever,which,4,ngsl-is-prefix
widespread,wide,4,ngsl-is-prefix
workshop,work,4,ngsl-is-prefix
