family_key,NGSL_words,NAWL_words,reason
accurate,accurate,accuracy,Verified derivational family missed by automatic stemming
after,after,afterward,Verified derivational family missed by automatic stemming
ally,ally,alliance,Verified derivational family missed by automatic stemming
architect,architecture,architect,Verified lexical family missed by automatic stemming
back,back,backward,Verified derivational family missed by automatic stemming
biolog,biological,biologist,Verified lexical family missed by automatic stemming
body,body,bodily,Verified derivational family missed by automatic stemming
capital,capital,capitalist,Verified derivational family missed by automatic stemming
carry,carry,carrier,Verified derivational family missed by automatic stemming
chemical,chemical,chemistry,Verified lexical family missed by automatic stemming
circle,circle,circulate; circulation,Verified derivational family missed by automatic stemming
class,class,classification; classify,Verified derivational family missed by automatic stemming
close,close,closure,Verified derivational family missed by automatic stemming
code,code,encode,Verified derivational family missed by automatic stemming
comment,comment,commentary,Verified derivational family missed by automatic stemming
concept,concept,conceptual,Verified derivational family missed by automatic stemming
connect,connect; connection,connector,Verified derivational family missed by automatic stemming
constraint,constraint,constrain,Verified derivational family missed by automatic stemming
consume,consume; consumer,consumption,Verified derivational family missed by automatic stemming
critic,critic; critical; criticism; criticize,critique,Verified lexical family missed by automatic stemming
cycle,cycle,cyclic,Verified derivational family missed by automatic stemming
describe,describe; description,descriptor,Verified derivational family missed by automatic stemming
develop,develop; development,developmental,Verified derivational family missed by automatic stemming
differ,differ; difference; different; differently,differential; differentiate; differentiation,Verified derivational family missed by automatic stemming
dimension,dimension,dimensional,Verified derivational family missed by automatic stemming
ability,ability; able,disability,Verified prefixed derivational family missed by automatic stemming
advantage,advantage,disadvantage,Verified prefixed derivational family missed by automatic stemming
charge,charge,discharge,Verified prefixed derivational family missed by automatic stemming
econom,economic; economy,economist,Verified derivational family missed by automatic stemming
element,element,elementary,Verified derivational family missed by automatic stemming
evolve,evolution; evolve,evolutionary,Verified derivational family missed by automatic stemming
expert,expert,expertise,Verified derivational family missed by automatic stemming
facility,facility,facilitate,Verified lexical family missed by automatic stemming
formula,formula,formulation,Verified derivational family missed by automatic stemming
force,force,enforcement; reinforce,Verified prefixed derivational family missed by automatic stemming
free,free,freely,Verified derivational family missed by automatic stemming
grade,grade,degrade,Verified prefixed derivational family missed by automatic stemming
